prompt,outdir,skip_grid,skip_save,ddim_steps,fixed_code,ddim_eta,n_iter,H,W,C,f,n_samples,n_rows,scale,device,from_file,seed,unet_bs,turbo,precision,format,sampler
"a close-up portrait of a cat by pablo picasso, vivid, abstract art, colorful, vibrant",outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,1,0,7.5,cuda,,239087,1,False,autocast,png,plms
"a hacker den with people programming, realistic",outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,1,0,7.5,cuda,,229752,1,False,autocast,png,plms
"a hacker den with people programming, realistic",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,292934,1,False,autocast,png,plms
a corgi in minecraft,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,715068,1,False,autocast,png,plms
someone playing new world video game,outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,162161,1,False,autocast,png,plms
"a photograph of a corgi wearing a baseball hat sitting on a couch, vivid, photorealistic, magical, fantasy, 8K UHD, photography",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,1,0,7.5,cuda,,890015,1,False,autocast,png,plms
"a photograph of a corgi wearing a baseball hat sitting on a couch, vivid, photorealistic, magical, fantasy, 8K UHD, photography",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,27987,1,False,autocast,png,plms
"avacado chair, vivid, photorealistic, 8K UHD, photography",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,660150,1,False,autocast,png,plms
"avacado-shaped plush chair, vivid, photorealistic, 8K UHD, photography",outputs/txt2img-samples,False,False,50,False,0.0,1,512,512,4,8,5,0,7.5,cuda,,915901,1,False,autocast,png,plms
"nintendo switchblade, vivid, 8K UHD, octane render",outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,1,0,7.5,cuda,,569883,1,False,autocast,png,plms
"nintendo switchblade knife, vivid, 8K UHD, octane render",outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,1,0,7.5,cuda,,755110,1,False,autocast,png,plms
"nintendo switch joycon knife, vivid, 8K UHD, octane render",outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,1,0,7.5,cuda,,618256,1,False,autocast,png,plms
"nintendo joycon knife, vivid, 8K UHD, octane render",outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,1,0,7.5,cuda,,105873,1,False,autocast,png,plms
"knife with nintendo joycon as handle, vivid, 8K UHD, octane render",outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,1,0,7.5,cuda,,122756,1,False,autocast,png,plms
"switchblade with nintendo joycon as handle, vivid, 8K UHD, octane render",outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,1,0,7.5,cuda,,949313,1,False,autocast,png,plms
"switchblade knife with nintendo joycon as handle, vivid, 8K UHD, octane render",outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,1,0,7.5,cuda,,414197,1,False,autocast,png,plms
"switchblade knife with nintendo joycon handle on a table, vivid, 8K UHD, octane render",outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,1,0,7.5,cuda,,17304,1,False,autocast,png,plms
"sharp switchblade knife with nintendo joycon handle on a table, vivid, 8K UHD, octane render",outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,1,0,7.5,cuda,,848034,1,False,autocast,png,plms
"among us imposter photorealistic, hyperrealistic, vivid, 8K UHD, octane render",outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,1,0,7.5,cuda,,599938,1,False,autocast,png,plms
"among us character, vivid, 8K UHD, octane render",outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,1,0,7.5,cuda,,494901,1,False,autocast,png,plms
"among us video game character, vivid, 8K UHD, octane render",outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,1,0,7.5,cuda,,658194,1,False,autocast,png,plms
"minecraft herobrine, vivid, 8K UHD, octane render",outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,1,0,7.5,cuda,,290142,1,False,autocast,png,plms
"herobrine, vivid, 8K UHD, octane render",outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,1,0,7.5,cuda,,950524,1,False,autocast,png,plms
Joe Biden and Donald Trump Fighting,outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,1,0,7.5,cuda,,121804,1,False,autocast,png,plms
Joe Biden fighting Donald Trump,outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,1,0,7.5,cuda,,918103,1,False,autocast,png,plms
Bill Gates punching Mark Zuckerberg,outputs/txt2img-samples,False,False,50,False,0.0,5,512,512,4,8,1,0,7.5,cuda,,927756,1,False,autocast,png,plms
